FID,PCODE,N_05_70K,N_15_100k,N_05_15,Cat_05_70K,Cat_15_100,Cat_05_15,Sub_indic
240,2760,95,50,-45,Over 80%,40 to 59%,Much less affordable,St Marys
241,2761,80,25,-55,Over 80%,20 to 39%,Much less affordable,Plumpton
242,2762,50,15,-35,40 to 59%,Less than 20%,Much less affordable,Schofields
243,2763,50,10,-40,40 to 59%,Less than 20%,Much less affordable,Quakers Hill
244,2765,50,15,-35,40 to 59%,Less than 20%,Much less affordable,Riverstone
245,2766,65,30,-35,60 to 79%,20 to 39%,Much less affordable,Rooty Hill
246,2767,70,15,-55,60 to 79%,Less than 20%,Much less affordable,Doonside
247,2768,15,5,-10,Less than 20%,Less than 20%,Less affordable,Parklea
248,2769,0,5,0,low sales volume,Less than 20%,low sales volume,The Ponds
249,2770,90,75,-15,Over 80%,60 to 79%,Less affordable,Mount Druitt
250,2773,20,5,-15,20 to 39%,Less than 20%,Less affordable,Glenbrook
251,2774,45,30,-15,40 to 59%,20 to 39%,Less affordable,Blaxland
252,2775,0,70,0,low sales volume,60 to 79%,low sales volume,Lower Hawkesbury
253,2783,85,70,-15,Over 80%,60 to 79%,Less affordable,Lawson
254,2776,45,40,-5,40 to 59%,40 to 59%,About the same,Faulconbridge
255,2777,60,35,-25,60 to 79%,20 to 39%,Much less affordable,Hawkesbury Heights
256,2784,0,0,0,low sales volume,low sales volume,low sales volume,Bullaburra
257,2785,70,65,-5,60 to 79%,60 to 79%,About the same,Blackheath
258,2786,70,85,15,60 to 79%,Over 80%,More affordable,Mount Victoria
259,2787,0,90,0,low sales volume,Over 80%,low sales volume,Oberon
260,2778,55,55,0,40 to 59%,40 to 59%,About the same,Woodford
261,2779,80,75,-5,Over 80%,60 to 79%,About the same,Hazelbrook
262,2780,60,65,5,60 to 79%,60 to 79%,About the same,Katoomba
263,2782,45,45,0,40 to 59%,40 to 59%,About the same,Wentworth Falls
